Name	Version	Architecturet	Description
libxrender1:amd64	1:0.9.10-1	amd64	X Rendering Extension client library
libxshmfence1:amd64	1.3-1	amd64	X shared memory fences - shared library
libxtst6:amd64	2:1.2.3-1	amd64	X11 Testing -- Record extension library
libxxf86vm1:amd64	1:1.1.4-1	amd64	X11 XFree86 video mode extension library
libzstd1:amd64	1.3.3+dfsg-2ubuntu1.2	amd64	fast lossless compression algorithm
linux-libc-dev:amd64	4.15.0-206.217	amd64	Linux Kernel Headers for development
login	1:4.5-1ubuntu2.5	amd64	system login tools
lsb-base	9.20170808ubuntu1	all	Linux Standard Base init script functionality
lsb-release	9.20170808ubuntu1	all	Linux Standard Base version reporting utility
m4	1.4.18-1	amd64	macro processing language
make	4.1-9.1ubuntu1	amd64	utility for directing compilation
mawk	1.3.3-17ubuntu3	amd64	a pattern scanning and text processing language
mime-support	3.60ubuntu1	all	MIME files 'mime.types' & 'mailcap', and support programs
mount	2.31.1-0.4ubuntu3.7	amd64	tools for mounting and manipulating filesystems
multiarch-support	2.27-3ubuntu1.6	amd64	Transitional package to ensure multiarch compatibility
ncurses-base	6.1-1ubuntu1.18.04	all	basic terminal type definitions
ncurses-bin	6.1-1ubuntu1.18.04	amd64	terminal-related programs and man pages
openjdk-17-jdk:amd64	17.0.6+10-0ubuntu1~18.04.1	amd64	OpenJDK Development Kit (JDK)
openjdk-17-jdk-headless:amd64	17.0.6+10-0ubuntu1~18.04.1	amd64	OpenJDK Development Kit (JDK) (headless)
openjdk-17-jre:amd64	17.0.6+10-0ubuntu1~18.04.1	amd64	OpenJDK Java runtime, using Hotspot JIT
openjdk-17-jre-headless:amd64	17.0.6+10-0ubuntu1~18.04.1	amd64	OpenJDK Java runtime, using Hotspot JIT (headless)
openssh-client	1:7.6p1-4ubuntu0.7	amd64	secure shell (SSH) client, for secure access to remote machines
openssl	1.1.1-1ubuntu2.1~18.04.21	amd64	Secure Sockets Layer toolkit - cryptographic utility
passwd	1:4.5-1ubuntu2.5	amd64	change and administer password and group data
patch	2.7.6-2ubuntu1.1	amd64	Apply a diff file to an original
perl	5.26.1-6ubuntu0.7	amd64	Larry Wall's Practical Extraction and Report Language
